               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024445,           0.0071482,                   0,             0.94879,             0.97513,             0.96929,             0.61898,            0.032812,           0.0048702,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023941,           0.0069446,                   0,             0.95114,             0.98496,             0.97818,             0.65675,            0.031774,           0.0045421,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02374,           0.0069824,                   0,             0.93473,             0.96906,             0.94911,              0.6366,            0.033496,           0.0048482,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023523,           0.0068422,                   0,             0.94157,             0.96925,             0.95757,             0.61172,            0.033361,           0.0050026,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02335,           0.0066921,                   0,             0.93559,              0.9829,             0.96882,             0.62055,            0.029923,           0.0051045,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023441,           0.0067906,                   0,               0.961,             0.94737,             0.95788,             0.61985,             0.03055,           0.0046924,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022751,           0.0064406,                   0,             0.95232,             0.96992,             0.97079,             0.60273,            0.031809,           0.0049673,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022321,           0.0065019,                   0,             0.96231,             0.99248,             0.98889,             0.65453,             0.03095,           0.0051622,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021701,           0.0065466,                   0,             0.94109,             0.96086,             0.96162,             0.62402,            0.029372,           0.0046759,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02173,           0.0065697,                   0,             0.92616,             0.96992,             0.96084,             0.64271,            0.031287,           0.0046481,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021476,            0.006465,                   0,             0.96263,             0.96992,             0.97419,             0.63499,            0.033087,           0.0049345,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020743,           0.0061796,                   0,             0.94709,             0.96992,             0.95985,             0.62471,            0.032536,           0.0047786,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020691,           0.0062093,                   0,             0.94793,             0.97744,             0.97044,             0.62893,            0.031188,           0.0049935,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020352,           0.0061047,                   0,             0.96294,             0.98496,             0.98238,             0.66174,            0.026956,           0.0045835,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02058,           0.0062441,                   0,             0.94725,             0.96992,             0.97244,             0.64056,            0.030255,           0.0052298,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020051,           0.0059787,                   0,             0.93227,             0.95489,             0.95379,             0.61759,            0.032824,           0.0051999,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.019661,           0.0060387,                   0,             0.93484,             0.96241,             0.95938,             0.63771,            0.029855,           0.0050728,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019416,           0.0058537,                   0,             0.94076,             0.95518,             0.95873,             0.63303,            0.033247,            0.005348,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019395,             0.00584,                   0,             0.96043,             0.96992,             0.96492,             0.63835,            0.030698,           0.0049555,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019449,            0.005829,                   0,             0.93419,             0.96052,              0.9541,             0.63532,            0.031118,             0.00509,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.019029,           0.0059201,                   0,             0.94852,             0.96978,             0.97196,              0.6262,            0.030118,           0.0052595,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018488,           0.0057557,                   0,             0.96265,             0.96992,             0.97463,             0.63867,             0.02828,           0.0053491,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018503,            0.005786,                   0,             0.94046,             0.98496,             0.97649,             0.64476,            0.027404,           0.0055724,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018487,           0.0059075,                   0,              0.9478,             0.96992,             0.95525,             0.63933,            0.030784,           0.0055668,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018802,           0.0059795,                   0,             0.94725,             0.96992,             0.95729,             0.64783,            0.026801,           0.0050778,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018314,           0.0058311,                   0,             0.92725,             0.96992,             0.95974,             0.65023,            0.029982,           0.0051049,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018414,           0.0058887,                   0,             0.92576,             0.93754,             0.94052,              0.6298,            0.033968,           0.0056781,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.017797,           0.0056176,                   0,             0.94858,             0.97744,             0.96909,             0.66391,             0.02677,           0.0051328,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.017349,           0.0055278,                   0,             0.96042,             0.96992,             0.96827,             0.67112,             0.02899,            0.005283,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016976,           0.0055998,                   0,             0.94888,             0.97744,              0.9755,             0.65261,            0.026881,           0.0056671,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017325,           0.0055313,                   0,             0.95585,             0.97673,             0.96693,             0.65657,            0.030709,           0.0057605,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017165,           0.0056905,                   0,             0.97015,             0.97732,             0.98241,             0.66714,            0.031474,           0.0055389,                   0,            0.003268,            0.003268,            0.003268
